user_id,Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay,Year,Day,DayOfWeek,age,gender
30,5/20/2025,Transaction at Zara,7133.34,1,UPI,Chennai,Credit Card,0,POS Terminal,INR,Retail,No,Tuesday,5,Evening,2025,20,Tuesday,32,Female
31,12/27/2025,Transaction at Ajio,6351.17,7,Debit Card,Kolkata,Salary,0,Mobile,INR,Online Store,Yes,Saturday,12,Afternoon,2025,27,Saturday,40,Male
32,5/20/2025,Transaction at Boat Lifestyle,128424.24,2,Debit Card,Chennai,Savings,0,POS Terminal,INR,Retail,No,Tuesday,5,Evening,2025,20,Tuesday,21,Female
33,2/8/2025,Transaction at Aster,17253.66,6,Net Banking,Delhi,Credit Card,0,POS Terminal,INR,Service,No,Saturday,2,Morning,2025,8,Saturday,39,Male
34,9/23/2025,Transaction at OnePlus,134214.53,2,UPI,Pune,Credit Card,0,Desktop,INR,Retail,No,Tuesday,9,Morning,2025,23,Tuesday,21,Female
35,9/25/2025,Transaction at Adidas,7195.3,1,Debit Card,Hyderabad,Salary,0,Desktop,INR,Retail,No,Thursday,9,Night,2025,25,Thursday,40,Male
36,3/27/2025,Transaction at CloudNine,18022.92,6,Debit Card,Bangalore,Savings,0,Desktop,INR,Service,No,Thursday,3,Morning,2025,27,Thursday,34,Female
37,2/6/2025,Transaction at Taco Bell,1158.63,4,Credit Card,Kolkata,Credit Card,0,Mobile,INR,Restaurant,Yes,Thursday,2,Afternoon,2025,6,Thursday,60,Male
38,5/26/2025,Transaction at Metro Rail,982.63,8,UPI,Kolkata,Savings,0,Mobile,INR,Service,No,Monday,5,Night,2025,26,Monday,36,Female
39,10/4/2025,Transaction at JioMart,552.08,5,Credit Card,Hyderabad,Savings,0,Mobile,INR,Retail,No,Saturday,10,Afternoon,2025,4,Saturday,46,Female
40,5/7/2025,Transaction at Zara,7654.25,1,Net Banking,Kolkata,Current,0,Desktop,INR,Retail,No,Wednesday,5,Night,2025,7,Wednesday,57,Female
41,4/10/2025,Transaction at Apple Store,111005.98,2,UPI,Delhi,Credit Card,0,Desktop,INR,Retail,Yes,Thursday,4,Morning,2025,10,Thursday,56,Male
42,5/27/2025,Transaction at Barbeque Nation,610.2,4,UPI,Chennai,Credit Card,0,Mobile,INR,Restaurant,Yes,Tuesday,5,Morning,2025,27,Tuesday,23,Female
43,11/3/2025,Transaction at BigBazaar,2051.12,5,Debit Card,Mumbai,Savings,0,POS Terminal,INR,Retail,Yes,Monday,11,Evening,2025,3,Monday,34,Male
44,2/25/2025,Transaction at Rapido,601.33,8,UPI,Mumbai,Current,0,Desktop,INR,Service,No,Tuesday,2,Afternoon,2025,25,Tuesday,20,Female
45,12/13/2025,Transaction at Hotstar,850.41,3,UPI,Kolkata,Current,0,Mobile,INR,Subscription,No,Saturday,12,Afternoon,2025,13,Saturday,30,Male
46,10/5/2025,Transaction at Snapdeal,17659.33,7,Debit Card,Delhi,Credit Card,0,Mobile,INR,Online Store,Yes,Sunday,10,Afternoon,2025,5,Sunday,26,Female
47,6/20/2025,Transaction at Allen Solly,6845.1,1,Debit Card,Mumbai,Salary,0,Desktop,INR,Retail,No,Friday,6,Night,2025,20,Friday,40,Female
48,1/22/2025,Transaction at 1mg,10543.34,6,Credit Card,Delhi,Current,0,Desktop,INR,Service,No,Wednesday,1,Evening,2025,22,Wednesday,30,Female
49,9/16/2025,Transaction at Biba,1592.02,1,Net Banking,Delhi,Salary,0,Desktop,INR,Retail,Yes,Tuesday,9,Evening,2025,16,Tuesday,18,Female
50,8/3/2025,Transaction at Ola,1456.02,8,Net Banking,Pune,Current,0,Desktop,INR,Service,Yes,Sunday,8,Evening,2025,3,Sunday,33,Male
51,5/11/2025,Transaction at Asus Store,39285.05,2,Credit Card,Mumbai,Savings,0,Mobile,INR,Retail,No,Sunday,5,Afternoon,2025,11,Sunday,60,Female
52,11/30/2025,Transaction at PharmEasy,14997.81,6,UPI,Kolkata,Salary,0,Mobile,INR,Service,No,Sunday,11,Night,2025,30,Sunday,32,Male
53,5/27/2025,Transaction at Airtel,5491.42,0,UPI,Hyderabad,Current,0,Desktop,INR,Service,No,Tuesday,5,Morning,2025,27,Tuesday,18,Male
54,10/17/2025,Transaction at Hotstar,271.2,3,UPI,Pune,Savings,0,POS Terminal,INR,Subscription,Yes,Friday,10,Evening,2025,17,Friday,52,Male
55,6/21/2025,Transaction at IndiGo,18720.15,9,Net Banking,Kolkata,Salary,0,Desktop,INR,Service,Yes,Saturday,6,Morning,2025,21,Saturday,28,Female
56,12/14/2025,Transaction at Apollo Pharmacy,15857.73,6,Debit Card,Hyderabad,Current,0,Mobile,INR,Service,No,Sunday,12,Morning,2025,14,Sunday,36,Male
57,10/2/2025,Transaction at A2B,606.98,4,UPI,Delhi,Credit Card,0,Desktop,INR,Restaurant,Yes,Thursday,10,Morning,2025,2,Thursday,39,Male
58,6/1/2025,Transaction at Taco Bell,866.89,4,Net Banking,Pune,Salary,0,Desktop,INR,Restaurant,No,Sunday,6,Night,2025,1,Sunday,50,Female
59,9/24/2025,Transaction at Uber,930.7,8,Net Banking,Bangalore,Current,0,Desktop,INR,Service,Yes,Wednesday,9,Night,2025,24,Wednesday,29,Female
60,6/12/2025,Transaction at IndiGo,19578.06,9,Credit Card,Kolkata,Savings,0,Mobile,INR,Service,Yes,Thursday,6,Afternoon,2025,12,Thursday,35,Male
61,5/27/2025,Transaction at Croma,102800.65,2,UPI,Mumbai,Savings,0,POS Terminal,INR,Retail,No,Tuesday,5,Morning,2025,27,Tuesday,58,Female
62,5/15/2025,Transaction at US Polo,7247.1,1,Credit Card,Mumbai,Salary,0,POS Terminal,INR,Retail,No,Thursday,5,Night,2025,15,Thursday,54,Female
63,4/29/2025,Transaction at DMart,1809.33,5,UPI,Kolkata,Savings,0,POS Terminal,INR,Retail,Yes,Tuesday,4,Night,2025,29,Tuesday,55,Female
64,11/24/2025,Transaction at Ajio,3187.72,7,Credit Card,Delhi,Current,0,POS Terminal,INR,Online Store,Yes,Monday,11,Morning,2025,24,Monday,54,Male
65,11/3/2025,Transaction at Biba,4245.61,1,Net Banking,Mumbai,Salary,0,Desktop,INR,Retail,No,Monday,11,Morning,2025,3,Monday,37,Female
66,5/8/2025,Transaction at Nykaa,16580.74,7,Credit Card,Bangalore,Salary,0,POS Terminal,INR,Online Store,No,Thursday,5,Morning,2025,8,Thursday,60,Female
67,11/28/2025,Transaction at IRCTC,24587.69,9,Debit Card,Chennai,Savings,0,Mobile,INR,Service,No,Friday,11,Morning,2025,28,Friday,21,Female
68,2/15/2025,Transaction at Goibibo,18246.21,9,Credit Card,Chennai,Credit Card,0,POS Terminal,INR,Service,No,Saturday,2,Night,2025,15,Saturday,60,Female
69,5/16/2025,Transaction at Croma,114729.44,2,UPI,Chennai,Savings,0,Mobile,INR,Retail,No,Friday,5,Afternoon,2025,16,Friday,57,Male
70,12/24/2025,Transaction at Aster,2573.77,6,Net Banking,Bangalore,Current,0,Desktop,INR,Service,Yes,Wednesday,12,Afternoon,2025,24,Wednesday,43,Male
71,11/3/2025,Transaction at Ajio,12783.42,7,UPI,Delhi,Salary,0,POS Terminal,INR,Online Store,No,Monday,11,Night,2025,3,Monday,30,Female
72,5/11/2025,Transaction at Netmeds,8942.95,6,Net Banking,Bangalore,Savings,0,POS Terminal,INR,Service,Yes,Sunday,5,Evening,2025,11,Sunday,56,Male
73,1/4/2025,Transaction at Jio Fiber,1317.31,0,Credit Card,Chennai,Salary,0,Desktop,INR,Service,Yes,Saturday,1,Evening,2025,4,Saturday,20,Male
74,1/6/2025,Transaction at AirAsia,18249.98,9,UPI,Hyderabad,Current,0,Mobile,INR,Service,Yes,Monday,1,Morning,2025,6,Monday,46,Female
75,5/28/2025,Transaction at SonyLiv,180.09,3,Debit Card,Kolkata,Credit Card,0,POS Terminal,INR,Subscription,Yes,Wednesday,5,Afternoon,2025,28,Wednesday,33,Female
76,12/23/2025,Transaction at Snapdeal,3790.59,7,Credit Card,Kolkata,Savings,0,Desktop,INR,Online Store,Yes,Tuesday,12,Afternoon,2025,23,Tuesday,45,Female
77,9/9/2025,Transaction at Amazon,7246.88,7,Credit Card,Bangalore,Current,0,POS Terminal,INR,Online Store,Yes,Tuesday,9,Afternoon,2025,9,Tuesday,28,Female
78,5/12/2025,Transaction at Boat Lifestyle,81586.75,2,Debit Card,Delhi,Credit Card,0,Mobile,INR,Retail,Yes,Monday,5,Afternoon,2025,12,Monday,53,Female
79,9/3/2025,Transaction at Wrogn,3214.92,1,Credit Card,Pune,Salary,0,Mobile,INR,Retail,No,Wednesday,9,Morning,2025,3,Wednesday,21,Female
80,1/28/2025,Transaction at Uber,288.69,8,Net Banking,Hyderabad,Salary,0,Mobile,INR,Service,Yes,Tuesday,1,Evening,2025,28,Tuesday,40,Female
81,7/9/2025,Transaction at Apollo Hospital,14951.4,6,Debit Card,Chennai,Current,0,Desktop,INR,Service,Yes,Wednesday,7,Morning,2025,9,Wednesday,23,Female
82,6/3/2025,Transaction at BigBazaar,3397.54,5,Credit Card,Mumbai,Credit Card,0,Mobile,INR,Retail,Yes,Tuesday,6,Evening,2025,3,Tuesday,25,Female
83,7/8/2025,Transaction at Nilgiris,1139.88,5,UPI,Mumbai,Current,0,Mobile,INR,Retail,No,Tuesday,7,Evening,2025,8,Tuesday,21,Male
84,8/3/2025,Transaction at Gaana,342.63,3,Net Banking,Chennai,Current,0,Mobile,INR,Subscription,Yes,Sunday,8,Evening,2025,3,Sunday,30,Male
85,8/15/2025,Transaction at TSRTC,892.7,8,Credit Card,Bangalore,Salary,0,Desktop,INR,Service,No,Friday,8,Night,2025,15,Friday,21,Male
86,6/12/2025,Transaction at Gaana,968.55,3,Net Banking,Pune,Savings,0,POS Terminal,INR,Subscription,Yes,Thursday,6,Evening,2025,12,Thursday,58,Male
87,1/10/2025,Transaction at Max Fashion,4490.07,1,Net Banking,Delhi,Savings,0,POS Terminal,INR,Retail,No,Friday,1,Evening,2025,10,Friday,32,Male
88,7/15/2025,Transaction at Pizza Hut,1157.6,4,UPI,Pune,Credit Card,0,Mobile,INR,Restaurant,No,Tuesday,7,Afternoon,2025,15,Tuesday,18,Male
89,12/7/2025,Transaction at 1mg,8764.35,6,Credit Card,Chennai,Credit Card,0,POS Terminal,INR,Service,Yes,Sunday,12,Morning,2025,7,Sunday,25,Female
90,1/26/2025,Transaction at BMTC,1547.07,8,Net Banking,Hyderabad,Salary,0,Mobile,INR,Service,Yes,Sunday,1,Morning,2025,26,Sunday,29,Female
91,8/28/2025,Transaction at Ajio,8146.38,7,Net Banking,Pune,Savings,0,POS Terminal,INR,Online Store,No,Thursday,8,Morning,2025,28,Thursday,43,Male
92,2/5/2025,Transaction at Meru Cabs,1920.03,8,Credit Card,Hyderabad,Salary,0,Mobile,INR,Service,Yes,Wednesday,2,Morning,2025,5,Wednesday,27,Female
93,10/6/2025,Transaction at Max Fashion,1721.41,1,Credit Card,Kolkata,Current,0,POS Terminal,INR,Retail,No,Monday,10,Evening,2025,6,Monday,46,Female
94,5/29/2025,Transaction at Aster,14813.92,6,UPI,Pune,Current,0,Desktop,INR,Service,Yes,Thursday,5,Evening,2025,29,Thursday,45,Male
95,5/5/2025,Transaction at ACT Fibernet,319.22,0,Debit Card,Mumbai,Credit Card,0,Mobile,INR,Service,Yes,Monday,5,Afternoon,2025,5,Monday,51,Female
96,4/27/2025,Transaction at Water Board,2338.4,0,UPI,Pune,Savings,0,Mobile,INR,Service,No,Sunday,4,Evening,2025,27,Sunday,55,Male
97,9/2/2025,Transaction at Vivo Store,61980.42,2,Credit Card,Delhi,Credit Card,0,POS Terminal,INR,Retail,Yes,Tuesday,9,Evening,2025,2,Tuesday,49,Male
98,2/23/2025,Transaction at Ola,822.4,8,Debit Card,Mumbai,Salary,0,Mobile,INR,Service,No,Sunday,2,Night,2025,23,Sunday,60,Male
99,2/26/2025,Transaction at YouTube Premium,184.47,3,Net Banking,Pune,Current,0,Desktop,INR,Subscription,Yes,Wednesday,2,Evening,2025,26,Wednesday,56,Male
100,10/8/2025,Transaction at Aster,4255.27,6,Net Banking,Hyderabad,Credit Card,0,Desktop,INR,Service,No,Wednesday,10,Morning,2025,8,Wednesday,54,Female
101,11/14/2025,Transaction at Pizza Hut,565.33,4,UPI,Chennai,Savings,0,POS Terminal,INR,Restaurant,No,Friday,11,Morning,2025,14,Friday,49,Male
102,11/4/2025,Transaction at BSNL,448.88,0,UPI,Delhi,Salary,0,Desktop,INR,Service,Yes,Tuesday,11,Afternoon,2025,4,Tuesday,25,Male
103,2/17/2025,Transaction at Apollo Pharmacy,18445.07,6,Net Banking,Chennai,Salary,0,Desktop,INR,Service,No,Monday,2,Afternoon,2025,17,Monday,26,Male
104,3/28/2025,Transaction at Water Board,4260.5,0,Net Banking,Kolkata,Salary,0,Mobile,INR,Service,Yes,Friday,3,Afternoon,2025,28,Friday,26,Male
105,4/16/2025,Transaction at Chai Point,589.68,4,Net Banking,Chennai,Credit Card,0,POS Terminal,INR,Restaurant,No,Wednesday,4,Night,2025,16,Wednesday,46,Female
106,7/1/2025,Transaction at Booking.com,27712.34,9,Debit Card,Kolkata,Salary,0,Desktop,INR,Service,No,Tuesday,7,Evening,2025,1,Tuesday,41,Male
107,6/23/2025,Transaction at Nykaa,13376.26,7,UPI,Mumbai,Salary,0,Desktop,INR,Online Store,No,Monday,6,Evening,2025,23,Monday,27,Male
108,3/17/2025,Transaction at 1mg,1134.99,6,UPI,Chennai,Credit Card,0,Mobile,INR,Service,Yes,Monday,3,Afternoon,2025,17,Monday,35,Female
109,11/25/2025,Transaction at CloudNine,12384.61,6,Credit Card,Chennai,Current,0,Mobile,INR,Service,Yes,Tuesday,11,Afternoon,2025,25,Tuesday,37,Male
110,11/8/2025,Transaction at Pantaloons,6929.7,1,UPI,Hyderabad,Current,0,Mobile,INR,Retail,Yes,Saturday,11,Evening,2025,8,Saturday,23,Male
111,11/26/2025,Transaction at Reliance Digital,130642.49,2,UPI,Kolkata,Credit Card,0,POS Terminal,INR,Retail,No,Wednesday,11,Morning,2025,26,Wednesday,35,Male
112,6/25/2025,Transaction at Apple Store,79777.72,2,Net Banking,Chennai,Credit Card,0,Desktop,INR,Retail,Yes,Wednesday,6,Afternoon,2025,25,Wednesday,48,Female
113,11/30/2025,Transaction at MedPlus,3370.27,6,Net Banking,Mumbai,Credit Card,0,POS Terminal,INR,Service,No,Sunday,11,Morning,2025,30,Sunday,41,Female
114,12/5/2025,Transaction at Zee5,337.71,3,Credit Card,Bangalore,Current,0,Desktop,INR,Subscription,No,Friday,12,Night,2025,5,Friday,55,Female
115,7/12/2025,Transaction at Ajio,4838.78,7,Net Banking,Chennai,Salary,0,POS Terminal,INR,Online Store,No,Saturday,7,Morning,2025,12,Saturday,48,Male
116,6/7/2025,Transaction at AirAsia,5198.69,9,UPI,Chennai,Credit Card,0,Mobile,INR,Service,No,Saturday,6,Night,2025,7,Saturday,38,Male
117,6/11/2025,Transaction at Aha,837.72,3,Net Banking,Mumbai,Salary,0,Mobile,INR,Subscription,Yes,Wednesday,6,Night,2025,11,Wednesday,49,Female
118,5/18/2025,Transaction at Vivo Store,77283.47,2,UPI,Delhi,Credit Card,0,Desktop,INR,Retail,Yes,Sunday,5,Night,2025,18,Sunday,19,Male
119,4/28/2025,Transaction at Asus Store,11685.73,2,UPI,Chennai,Current,0,POS Terminal,INR,Retail,Yes,Monday,4,Evening,2025,28,Monday,43,Female
120,10/21/2025,Transaction at TSRTC,1439.75,8,UPI,Kolkata,Credit Card,0,POS Terminal,INR,Service,No,Tuesday,10,Evening,2025,21,Tuesday,41,Female
121,8/5/2025,Transaction at Uber,1973.48,8,Net Banking,Chennai,Savings,0,Mobile,INR,Service,No,Tuesday,8,Afternoon,2025,5,Tuesday,24,Female
122,10/6/2025,Transaction at Nike,4371.85,1,Net Banking,Delhi,Credit Card,0,Mobile,INR,Retail,Yes,Monday,10,Evening,2025,6,Monday,47,Female
123,3/2/2025,Transaction at MedPlus,1402.49,6,UPI,Bangalore,Credit Card,0,Mobile,INR,Service,Yes,Sunday,3,Night,2025,2,Sunday,27,Female
124,10/28/2025,Transaction at A2B,1243.48,4,Credit Card,Bangalore,Salary,0,POS Terminal,INR,Restaurant,Yes,Tuesday,10,Morning,2025,28,Tuesday,34,Male
125,4/13/2025,Transaction at Noise,113889.04,2,Credit Card,Hyderabad,Current,0,POS Terminal,INR,Retail,No,Sunday,4,Morning,2025,13,Sunday,34,Female
126,6/20/2025,Transaction at Ola,1257.63,8,UPI,Hyderabad,Credit Card,0,Desktop,INR,Service,No,Friday,6,Evening,2025,20,Friday,19,Female
127,1/30/2025,Transaction at Zee5,933.54,3,Net Banking,Chennai,Salary,0,Desktop,INR,Subscription,No,Thursday,1,Night,2025,30,Thursday,27,Male
128,2/8/2025,Transaction at Starbucks,651.61,4,Net Banking,Chennai,Current,0,Desktop,INR,Restaurant,No,Saturday,2,Night,2025,8,Saturday,35,Male
129,8/9/2025,Transaction at Fortis,10637.38,6,Debit Card,Pune,Credit Card,0,Mobile,INR,Service,No,Saturday,8,Morning,2025,9,Saturday,30,Male
130,3/7/2025,Transaction at Reliance Digital,18244.44,2,Debit Card,Delhi,Current,0,Desktop,INR,Retail,No,Friday,3,Morning,2025,7,Friday,54,Male
131,8/18/2025,Transaction at Ola,1887.66,8,UPI,Delhi,Credit Card,0,Mobile,INR,Service,Yes,Monday,8,Night,2025,18,Monday,42,Female
132,12/15/2025,Transaction at SonyLiv,145.96,3,Debit Card,Hyderabad,Credit Card,0,Mobile,INR,Subscription,No,Monday,12,Night,2025,15,Monday,42,Female
133,3/31/2025,Transaction at Booking.com,12967.17,9,Net Banking,Pune,Credit Card,0,Desktop,INR,Service,Yes,Monday,3,Morning,2025,31,Monday,26,Male
134,6/29/2025,Transaction at Sony Center,62817.88,2,UPI,Hyderabad,Credit Card,0,Desktop,INR,Retail,Yes,Sunday,6,Evening,2025,29,Sunday,41,Female
135,7/29/2025,Transaction at Biba,4148.95,1,Debit Card,Bangalore,Current,0,Mobile,INR,Retail,Yes,Tuesday,7,Evening,2025,29,Tuesday,52,Female
136,4/30/2025,Transaction at JioMart,2506.42,5,UPI,Bangalore,Credit Card,0,POS Terminal,INR,Retail,Yes,Wednesday,4,Evening,2025,30,Wednesday,33,Female
137,11/15/2025,Transaction at Rapido,228.04,8,UPI,Pune,Current,0,Mobile,INR,Service,No,Saturday,11,Morning,2025,15,Saturday,30,Male
138,11/3/2025,Transaction at Amazon,3452.95,7,Net Banking,Mumbai,Credit Card,0,Mobile,INR,Online Store,Yes,Monday,11,Evening,2025,3,Monday,42,Male
139,2/6/2025,Transaction at CCD,623.51,4,Net Banking,Hyderabad,Savings,0,POS Terminal,INR,Restaurant,No,Thursday,2,Morning,2025,6,Thursday,18,Female
140,7/25/2025,Transaction at AirAsia,9974.99,9,UPI,Hyderabad,Current,0,Desktop,INR,Service,No,Friday,7,Night,2025,25,Friday,19,Male
141,8/30/2025,Transaction at Reliance Fresh,1624.5,5,Debit Card,Mumbai,Current,0,Desktop,INR,Retail,No,Saturday,8,Morning,2025,30,Saturday,40,Female
142,10/11/2025,Transaction at Pepperfry,14948.76,7,UPI,Hyderabad,Credit Card,0,Desktop,INR,Online Store,No,Saturday,10,Evening,2025,11,Saturday,42,Female
143,11/4/2025,Transaction at SonyLiv,685.67,3,Net Banking,Chennai,Salary,0,POS Terminal,INR,Subscription,No,Tuesday,11,Afternoon,2025,4,Tuesday,59,Female
144,3/6/2025,Transaction at Reliance Digital,91984.49,2,Debit Card,Kolkata,Credit Card,0,Mobile,INR,Retail,No,Thursday,3,Night,2025,6,Thursday,28,Female
145,5/6/2025,Transaction at Spencers,4302.88,5,Debit Card,Hyderabad,Salary,0,Mobile,INR,Retail,Yes,Tuesday,5,Night,2025,6,Tuesday,52,Female
146,7/5/2025,Transaction at Ajio,16992.09,7,UPI,Kolkata,Savings,0,Desktop,INR,Online Store,No,Saturday,7,Afternoon,2025,5,Saturday,37,Female
147,6/20/2025,Transaction at PharmEasy,15524.65,6,UPI,Kolkata,Current,0,POS Terminal,INR,Service,Yes,Friday,6,Night,2025,20,Friday,32,Female
148,8/27/2025,Transaction at Air India,27984,9,Credit Card,Kolkata,Current,0,Mobile,INR,Service,Yes,Wednesday,8,Afternoon,2025,27,Wednesday,39,Female
149,8/25/2025,Transaction at RedBus,1324.57,8,UPI,Delhi,Savings,0,Mobile,INR,Service,Yes,Monday,8,Night,2025,25,Monday,29,Male
150,2/6/2025,Transaction at Subway,1429.47,4,Debit Card,Kolkata,Current,0,POS Terminal,INR,Restaurant,Yes,Thursday,2,Night,2025,6,Thursday,25,Male
151,9/8/2025,Transaction at IndiGo,7841.59,9,Net Banking,Bangalore,Savings,0,POS Terminal,INR,Service,Yes,Monday,9,Evening,2025,8,Monday,51,Female
152,12/13/2025,Transaction at Woodland,7711.86,1,Net Banking,Bangalore,Salary,0,POS Terminal,INR,Retail,Yes,Saturday,12,Afternoon,2025,13,Saturday,34,Female
153,5/6/2025,Transaction at Ola,1376.98,8,Credit Card,Delhi,Credit Card,0,Mobile,INR,Service,No,Tuesday,5,Afternoon,2025,6,Tuesday,19,Female
154,2/4/2025,Transaction at A2B,563.71,4,Credit Card,Kolkata,Salary,0,Desktop,INR,Restaurant,No,Tuesday,2,Morning,2025,4,Tuesday,36,Male
155,11/2/2025,Transaction at HP World,9965.75,2,UPI,Bangalore,Salary,0,Mobile,INR,Retail,No,Sunday,11,Afternoon,2025,2,Sunday,28,Male
156,2/16/2025,Transaction at Lenskart,2429.44,7,Net Banking,Delhi,Current,0,Desktop,INR,Online Store,No,Sunday,2,Evening,2025,16,Sunday,19,Female
157,12/29/2025,Transaction at IndiGo,19630.5,9,Credit Card,Hyderabad,Salary,0,Mobile,INR,Service,Yes,Monday,12,Morning,2025,29,Monday,20,Male
158,6/25/2025,Transaction at Cream Stone,832.44,4,Debit Card,Pune,Salary,0,Mobile,INR,Restaurant,Yes,Wednesday,6,Night,2025,25,Wednesday,44,Female
159,9/2/2025,Transaction at RedBus,792.61,8,Net Banking,Kolkata,Credit Card,0,Mobile,INR,Service,Yes,Tuesday,9,Morning,2025,2,Tuesday,57,Male
160,12/22/2025,Transaction at Amazon,17765.64,7,Debit Card,Delhi,Salary,0,POS Terminal,INR,Online Store,Yes,Monday,12,Night,2025,22,Monday,30,Male
